측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20200101,강남구,0.037,0.003,0.7,0.003,31,23
20200101,강남대로,0.036,0.003,1.1,0.004,36,20
20200101,강동구,0.036,0.004,0.6,0.003,37,28
20200101,강변북로,0.042,0.003,0.8,0.004,40,26
20200101,강북구,0.045,0.004,0.7,0.003,41,27
20200101,강서구,0.041,0.004,0.6,0.005,39,23
20200101,공항대로,0.041,0.003,0.7,0.005,42,24
20200101,관악구,0.043,0.008,0.7,0.003,35,22
20200101,관악산,0.017,0.016,0.6,0.004,26,17
20200101,광진구,0.032,0.003,0.6,0.002,33,19
20200101,구로구,0.035,0.008,0.5,0.004,32,23
20200101,궁동,0.036,0.004,0.6,0.004,37,26
20200101,금천구,0.038,0.002,0.5,0.003,20,17
20200101,남산,,0.004,0.9,0.004,31,21
20200101,노원구,0.037,0.005,0.6,0.004,28,24
20200101,도봉구,0.031,0.005,0.7,0.002,31,20
20200101,도산대로,0.041,0.003,1.4,0.003,33,19
20200101,동대문구,0.039,0.003,0.7,0.003,33,20
20200101,동작구,0.04,0.004,0.6,0.003,39,26
20200101,동작대로,0.044,0.004,0.6,0.006,34,27
20200101,마포구,0.043,0.003,0.7,0.003,31,23
20200101,마포아트센터,0.038,0.002,0.4,0.003,32,21
20200101,북한산,0.031,0.004,0.8,0.003,33,18
20200101,서대문구,0.038,0.004,0.9,0.004,34,17
20200101,서울숲,0.042,0.003,0.6,0.004,33,21
20200101,서초구,0.046,0.008,0.5,0.003,39,24
20200101,성동구,0.04,0.003,0.7,0.003,33,23
20200101,성북구,0.044,0.004,0.9,0.003,33,21
20200101,세곡,0.015,0.005,0.8,0.004,27,18
20200101,송파구,0.037,0.003,0.7,0.003,32,22
20200101,시흥대로,0.044,0.003,0.7,0.004,33,24
20200101,신촌로,0.042,0.003,0.7,0.003,37,26
20200101,양천구,0.042,0.003,0.7,0.004,40,27
20200101,영등포구,0.039,0.003,0.9,0.003,33,22
20200101,영등포로,0.046,0.003,0.8,0.004,39,26
20200101,올림픽공원,0.029,0.004,0.6,0.003,27,21
20200101,용산구,0.033,0.004,0.6,0.003,29,24
20200101,은평구,0.035,0.003,0.7,0.003,33,21
20200101,자연사박물관,,,,,31,20
20200101,정릉로,0.033,0.003,0.6,0.004,40,30
20200101,종로,0.036,0.003,0.7,0.003,42,25
20200101,종로구,0.041,0.003,0.7,0.003,35,25
20200101,중구,0.037,0.003,0.7,0.003,35,29
20200101,중랑구,0.036,0.005,0.6,0.003,32,17
20200101,천호대로,0.037,0.004,0.6,0.003,38,22
20200101,청계천로,0.038,0.003,0.7,0.004,33,24
20200101,한강대로,0.039,0.004,0.7,0.003,41,22
20200101,행주,0.032,0.004,0.8,0.004,37,20
20200101,홍릉로,0.044,0.003,0.6,0.003,33,23
20200101,화랑로,0.03,0.007,0.4,0.004,38,26
20200102,강남구,0.042,0.003,0.8,0.004,57,43
20200102,강남대로,0.046,0.002,1.4,0.004,67,41
20200102,강동구,0.041,0.003,0.7,0.003,67,50
20200102,강변북로,0.05,0.003,0.9,0.005,75,45
20200102,강북구,0.043,0.007,0.8,0.003,62,43
20200102,강서구,0.046,0.003,0.8,0.006,69,39
20200102,공항대로,0.049,0.003,0.8,0.006,71,41
20200102,관악구,0.047,,0.7,0.004,53,35
20200102,관악산,0.026,0.013,0.7,0.005,55,33
20200102,광진구,0.035,0.003,0.8,0.003,61,34
20200102,구로구,0.036,0.007,0.6,0.004,57,42
20200102,궁동,0.04,0.003,0.8,0.004,65,44
20200102,금천구,0.045,0.002,0.8,0.004,54,47
20200102,남산,0.044,0.004,1.1,0.004,56,39
20200102,노원구,0.046,0.005,0.9,0.005,48,41
20200102,도봉구,0.033,0.007,0.8,0.003,54,34
20200102,도산대로,0.046,0.003,1.6,0.004,60,41
20200102,동대문구,0.042,0.002,0.8,0.003,47,32
20200102,동작구,0.046,0.004,0.7,0.004,57,40
20200102,동작대로,0.052,0.003,0.8,0.006,65,47
20200102,마포구,0.048,0.002,0.8,0.004,53,39
20200102,마포아트센터,0.041,0.003,0.4,0.003,55,37
20200102,북한산,0.024,0.009,0.8,0.003,51,28
20200102,서대문구,0.04,0.004,1,0.004,62,32
20200102,서울숲,0.047,0.003,0.8,0.004,57,37
20200102,서초구,0.05,0.008,0.6,0.004,70,44
20200102,성동구,0.044,0.002,0.7,0.004,53,37
20200102,성북구,0.048,0.004,1,0.004,60,37
20200102,세곡,0.019,0.004,1.1,0.005,49,26
20200102,송파구,0.043,0.003,0.8,0.004,57,39
20200102,시흥대로,0.052,0.003,0.8,0.004,56,44
20200102,신촌로,0.047,0.002,0.9,0.004,62,45
20200102,양천구,0.045,0.002,0.8,0.005,69,46
20200102,영등포구,0.044,0.003,1.1,0.004,55,39
20200102,영등포로,0.05,0.002,0.9,0.004,66,44
20200102,올림픽공원,0.033,0.003,0.8,0.004,49,35
20200102,용산구,0.036,0.003,0.7,0.003,54,44
20200102,은평구,0.037,0.003,0.9,0.003,58,35
20200102,자연사박물관,,,,,53,34
20200102,정릉로,0.035,0.002,0.8,0.005,66,50
20200102,종로,0.038,0.003,0.8,0.004,67,44
20200102,종로구,0.045,0.002,0.9,0.004,49,37
20200102,중구,0.041,0.003,0.8,0.004,59,48
20200102,중랑구,0.041,0.004,0.8,0.003,60,33
20200102,천호대로,0.046,0.003,0.8,0.003,71,40
20200102,청계천로,0.043,0.003,0.9,0.005,56,42
20200102,한강대로,0.043,0.004,0.9,0.004,67,36
20200102,행주,0.036,0.004,0.9,0.004,60,31
20200102,홍릉로,0.047,0.006,0.9,0.004,56,41
20200102,화랑로,0.035,0.006,0.6,0.004,60,47
20200103,강남구,0.043,0.009,0.8,0.004,61,45
20200103,강남대로,0.052,0.004,1.6,0.004,79,47
20200103,강동구,0.046,0.002,1,0.003,84,64
20200103,강변북로,0.051,0.006,1,0.005,76,45
20200103,강북구,0.038,0.013,0.8,0.003,65,44
20200103,강서구,0.044,0.009,0.9,0.007,89,48
20200103,공항대로,0.049,0.005,1,0.006,89,52
20200103,관악구,0.046,0.007,0.9,0.005,71,46
20200103,관악산,0.024,0.014,0.7,0.005,62,36
20200103,광진구,0.038,0.002,1.1,0.003,74,44
20200103,구로구,0.032,0.012,0.6,0.005,73,52
20200103,궁동,0.037,0.008,0.8,0.004,76,52
20200103,금천구,0.043,0.008,0.9,0.004,64,54
20200103,남산,0.034,0.014,1.1,0.004,67,43
20200103,노원구,0.046,0.008,1,0.005,54,45
20200103,도봉구,0.028,0.015,0.8,0.003,56,35
20200103,도산대로,0.045,0.008,1.6,0.004,65,43
20200103,동대문구,0.038,0.01,0.8,0.004,59,41
20200103,동작구,0.036,0.011,0.8,0.004,87,59
20200103,동작대로,0.056,0.006,0.9,0.007,79,52
20200103,마포구,0.037,0.007,0.9,0.004,70,55
20200103,마포아트센터,0.037,0.01,0.4,0.004,63,42
20200103,북한산,0.011,0.023,0.8,0.004,50,28
20200103,서대문구,0.037,0.009,1.2,0.007,67,35
20200103,서울숲,0.045,0.008,0.8,0.004,60,39
20200103,서초구,0.049,0.013,0.6,0.005,78,48
20200103,성동구,0.041,0.008,0.8,0.004,62,45
20200103,성북구,0.044,0.007,1.2,0.004,66,48
20200103,세곡,0.022,0.007,1.4,0.005,59,30
20200103,송파구,0.046,0.007,0.9,0.004,62,43
20200103,시흥대로,0.05,0.007,0.9,0.005,62,50
20200103,신촌로,0.05,0.004,1.1,0.004,75,55
20200103,양천구,0.036,0.008,0.9,0.005,90,60
20200103,영등포구,0.044,0.007,1.2,0.004,68,47
20200103,영등포로,0.051,0.006,1,0.005,78,52
20200103,올림픽공원,0.034,0.008,0.9,0.004,53,38
20200103,용산구,0.034,0.008,0.8,0.004,62,46
20200103,은평구,0.031,0.009,0.9,0.003,61,35
20200103,자연사박물관,,,,,63,41
20200103,정릉로,0.038,0.003,0.9,0.005,72,50
20200103,종로,0.033,0.009,0.8,0.004,72,45
20200103,종로구,0.038,0.01,0.9,0.004,66,48
20200103,중구,0.036,0.01,0.8,0.004,65,52
20200103,중랑구,0.042,0.008,0.9,0.003,64,36
20200103,천호대로,0.053,0.006,1,0.004,74,44
20200103,청계천로,0.04,0.008,1,0.005,61,45
20200103,한강대로,0.042,0.008,0.9,0.005,72,40
20200103,행주,0.03,0.011,1,0.004,74,40
20200103,홍릉로,0.048,0.011,1,0.005,61,43
20200103,화랑로,0.037,0.008,0.7,0.004,61,48
20200104,강남구,0.045,0.012,0.9,0.004,53,39
20200104,강남대로,0.05,0.006,1.7,0.004,60,34
20200104,강동구,0.046,0.009,0.9,0.004,63,47
20200104,강변북로,0.053,0.008,1.1,0.005,64,39
20200104,강북구,0.04,0.016,0.8,0.004,55,39
20200104,강서구,0.049,0.012,1,0.006,70,38
20200104,공항대로,0.05,0.009,1,0.006,71,40
20200104,관악구,0.051,0.009,1,0.004,55,36
20200104,관악산,0.019,0.018,0.7,0.005,42,26
20200104,광진구,0.037,0.01,1,0.003,54,30
20200104,구로구,0.051,0.005,0.9,0.006,64,44
20200104,궁동,0.043,0.011,0.9,0.004,62,44
20200104,금천구,0.045,0.009,0.9,0.004,47,43
20200104,남산,0.04,0.018,1.2,0.005,57,37
20200104,노원구,0.046,0.01,1,0.006,49,41
20200104,도봉구,0.034,0.015,1,0.003,50,31
20200104,도산대로,0.052,0.01,1.9,0.004,57,37
20200104,동대문구,0.043,0.012,0.8,0.004,51,35
20200104,동작구,0.049,0.01,0.8,0.004,67,40
20200104,동작대로,0.059,0.007,1,0.006,57,38
20200104,마포구,0.056,0.014,1.1,0.004,54,43
20200104,마포아트센터,0.045,0.012,0.5,0.004,53,35
20200104,북한산,0.016,0.024,0.8,0.004,41,23
20200104,서대문구,0.04,0.013,1.2,0.006,53,28
20200104,서울숲,0.05,0.011,0.9,0.005,54,33
20200104,서초구,0.052,0.017,0.7,0.004,61,40
20200104,성동구,0.044,0.011,0.9,0.005,54,39
20200104,성북구,0.049,0.012,1,0.004,51,34
20200104,세곡,0.021,0.009,1.3,0.005,47,27
20200104,송파구,0.05,0.008,1,0.005,55,38
20200104,시흥대로,0.055,0.009,0.9,0.005,50,41
20200104,신촌로,0.054,0.006,1.2,0.005,62,46
20200104,양천구,0.053,0.011,1,0.006,67,45
20200104,영등포구,0.051,0.01,1.4,0.004,55,39
20200104,영등포로,0.057,0.007,1.1,0.005,64,44
20200104,올림픽공원,0.035,0.009,0.9,0.004,48,33
20200104,용산구,0.037,0.011,0.9,0.004,52,39
20200104,은평구,0.034,0.014,0.9,0.004,51,28
20200104,자연사박물관,,,,,51,34
20200104,정릉로,0.042,0.004,0.9,0.005,60,45
20200104,종로,0.035,0.014,0.9,0.004,60,39
20200104,종로구,0.042,0.013,1,0.005,55,41
20200104,중구,0.04,0.014,0.9,0.004,53,44
20200104,중랑구,0.045,0.01,1,0.004,56,31
20200104,천호대로,0.054,0.008,1,0.004,68,36
20200104,청계천로,0.041,0.013,1,0.005,51,39
20200104,한강대로,0.046,0.01,1,0.005,59,33
20200104,행주,0.029,0.016,1.1,0.004,55,33
20200104,홍릉로,0.052,0.012,1.1,0.005,53,37
20200104,화랑로,0.038,0.01,0.7,0.004,58,42
20200105,강남구,0.046,0.007,0.9,0.004,45,34
20200105,강남대로,0.048,0.004,1.8,0.005,52,31
20200105,강동구,0.043,0.008,0.8,0.003,57,42
20200105,강변북로,0.051,0.006,1.1,0.005,57,34
20200105,강북구,0.045,0.01,0.9,0.003,57,40
20200105,강서구,0.041,0.011,0.8,0.006,65,36
20200105,공항대로,0.046,0.005,0.9,0.006,65,38
20200105,관악구,0.055,0.005,1,0.005,53,35
20200105,관악산,0.016,0.006,0.7,0.004,40,25
20200105,광진구,0.035,0.008,0.9,0.004,47,27
20200105,구로구,0.043,0.011,0.6,0.005,51,38
20200105,궁동,0.037,0.005,1,0.003,58,44
20200105,금천구,0.049,0.006,0.9,0.004,45,41
20200105,남산,0.044,0.011,1.2,0.005,57,34
20200105,노원구,0.05,0.006,1.1,0.006,47,39
20200105,도봉구,0.039,0.008,1,0.004,51,31
20200105,도산대로,0.052,0.005,1.8,0.004,52,32
20200105,동대문구,0.05,0.006,0.7,0.004,49,33
20200105,동작구,0.054,0.006,0.9,0.004,64,39
20200105,동작대로,0.062,0.005,1,0.006,57,38
20200105,마포구,0.052,0.011,0.9,0.004,50,40
20200105,마포아트센터,0.045,0.008,0.5,0.004,49,32
20200105,북한산,0.021,0.018,0.9,0.004,43,25
20200105,서대문구,0.043,0.008,1.3,0.008,52,28
20200105,서울숲,0.05,0.007,0.8,0.004,49,31
20200105,서초구,0.058,0.01,0.7,0.004,60,37
20200105,성동구,0.044,0.008,0.8,0.004,46,35
20200105,성북구,0.056,0.006,1.1,0.004,51,36
20200105,세곡,0.018,0.009,1.5,0.005,43,26
20200105,송파구,0.046,0.006,0.9,0.004,47,33
20200105,시흥대로,0.059,0.005,1,0.005,47,39
20200105,신촌로,0.052,0.004,1.1,0.004,58,43
20200105,양천구,0.048,0.008,0.9,0.006,60,43
20200105,영등포구,0.048,0.006,1.2,0.004,51,36
20200105,영등포로,0.054,0.005,1,0.005,58,41
20200105,올림픽공원,0.03,0.008,0.9,0.003,45,30
20200105,용산구,0.038,0.007,0.8,0.004,44,35
20200105,은평구,0.038,0.008,1,0.003,50,28
20200105,자연사박물관,,,,,47,32
20200105,정릉로,0.041,0.003,1,0.005,59,
20200105,종로,0.041,0.006,0.9,0.004,56,38
20200105,종로구,0.05,0.007,1,0.005,54,40
20200105,중구,0.047,0.006,0.9,0.004,52,43
20200105,중랑구,0.04,0.01,0.9,0.004,51,28
20200105,천호대로,0.047,0.006,1,0.004,59,32
20200105,청계천로,0.048,0.005,1.1,0.005,49,38
20200105,한강대로,0.05,0.006,1,0.005,57,32
20200105,행주,0.028,0.014,1,0.004,55,33
20200105,홍릉로,0.052,0.01,1,0.005,50,34
20200105,화랑로,0.037,0.008,0.7,0.004,55,39
20200106,강남구,0.039,0.006,0.7,0.003,36,26
20200106,강남대로,0.047,0.002,1.3,0.003,46,27
20200106,강동구,0.038,0.006,0.7,0.003,42,31
20200106,강변북로,0.035,0.009,0.8,0.004,37,25
20200106,강북구,0.044,0.008,0.7,0.003,38,27
20200106,강서구,0.047,0.004,0.8,0.004,46,27
20200106,공항대로,0.046,0.003,0.9,0.006,53,31
20200106,관악구,0.048,0.003,0.8,0.003,41,28
20200106,관악산,0.016,0.016,0.5,0.004,18,16
20200106,광진구,0.029,0.008,0.7,0.003,33,19
20200106,구로구,0.037,0.007,0.5,0.004,37,29
20200106,궁동,0.048,0.004,0.7,0.003,45,31
20200106,금천구,0.043,0.005,0.7,0.004,33,31
20200106,남산,0.033,0.011,1.1,0.004,39,
20200106,노원구,0.051,0.003,1,0.006,44,37
20200106,도봉구,0.036,0.005,0.8,0.003,36,23
20200106,도산대로,0.043,0.004,1.6,0.003,38,24
20200106,동대문구,0.046,0.003,0.6,0.003,38,26
20200106,동작구,0.048,0.004,0.7,0.003,54,33
20200106,동작대로,0.054,0.003,0.8,0.006,43,31
20200106,마포구,0.042,0.009,0.6,0.003,33,26
20200106,마포아트센터,0.039,0.008,0.4,0.003,34,22
20200106,북한산,0.018,0.018,0.7,0.003,30,18
20200106,서대문구,0.024,0.018,0.6,0.003,27,15
20200106,서울숲,0.044,0.006,0.8,0.004,38,22
20200106,서초구,0.048,0.01,0.5,0.003,43,28
20200106,성동구,0.035,0.008,0.6,0.004,35,27
20200106,성북구,0.049,0.004,0.9,0.004,39,26
20200106,세곡,0.02,0.004,1.3,0.006,38,19
20200106,송파구,0.043,0.004,0.8,0.004,40,28
20200106,시흥대로,0.054,0.003,0.8,0.004,37,31
20200106,신촌로,0.041,0.005,0.7,0.004,37,28
20200106,양천구,0.048,0.004,0.8,0.005,46,30
20200106,영등포구,0.046,0.004,1.1,0.003,39,28
20200106,영등포로,0.049,0.003,0.8,0.004,44,31
20200106,올림픽공원,0.031,0.005,0.8,0.003,35,23
20200106,용산구,0.034,0.005,0.6,0.003,33,26
20200106,은평구,0.024,0.016,0.7,0.003,28,17
20200106,자연사박물관,,,,,,24
20200106,정릉로,0.049,0.002,0.7,0.005,43,25
20200106,종로,0.043,0.003,0.9,0.004,47,30
20200106,종로구,0.044,0.004,0.8,0.004,39,29
20200106,중구,0.041,0.004,0.8,0.004,42,34
20200106,중랑구,0.039,0.007,0.7,0.003,47,25
20200106,천호대로,0.044,0.004,0.8,0.004,45,27
20200106,청계천로,0.045,0.003,0.9,0.004,37,29
20200106,한강대로,0.044,0.004,0.8,0.005,39,23
20200106,행주,0.034,0.004,0.9,0.004,42,25
20200106,홍릉로,0.049,0.006,0.8,0.003,37,25
20200106,화랑로,0.037,0.005,0.7,0.005,47,33
20200107,강남구,0.029,0.011,0.5,0.002,6,3
20200107,강남대로,0.038,0.005,0.7,0.002,9,4
20200107,강동구,0.023,0.013,0.4,0.003,6,6
20200107,강변북로,0.03,0.009,0.8,0.003,8,6
20200107,강북구,0.038,0.009,0.5,0.003,10,7
20200107,강서구,0.034,0.007,0.6,0.003,11,7
20200107,공항대로,0.037,0.005,0.6,0.006,14,10
20200107,관악구,0.039,0.005,0.6,0.003,9,6
20200107,관악산,0.016,0.011,0.5,0.004,3,1
20200107,광진구,0.018,0.014,0.6,0.003,5,4
20200107,구로구,0.029,0.011,0.4,0.003,9,8
20200107,궁동,0.038,0.007,0.5,0.003,9,6
20200107,금천구,0.03,0.009,0.5,0.002,6,6
20200107,남산,0.03,0.011,0.9,0.003,7,
20200107,노원구,0.037,0.003,0.6,0.004,14,13
20200107,도봉구,0.026,0.012,0.5,0.002,7,7
20200107,도산대로,0.036,0.006,1.2,0.002,9,5
20200107,동대문구,0.037,0.005,0.6,0.002,11,6
20200107,동작구,0.038,0.006,0.5,0.002,12,6
20200107,동작대로,0.044,0.006,0.6,0.005,7,6
20200107,마포구,0.028,0.013,0.5,0.002,7,4
20200107,마포아트센터,0.025,0.013,0.3,0.003,7,4
20200107,북한산,0.014,0.021,0.7,0.003,6,3
20200107,서대문구,0.01,0.026,0.4,0.002,3,1
20200107,서울숲,0.039,0.007,,0.004,9,6
20200107,서초구,0.038,0.012,0.4,0.002,6,7
20200107,성동구,0.032,0.007,0.5,0.005,12,10
20200107,성북구,0.037,0.007,0.7,0.003,12,7
20200107,세곡,0.017,0.004,0.8,0.004,7,7
20200107,송파구,0.036,0.005,0.6,0.003,7,4
20200107,시흥대로,0.047,0.005,0.7,0.003,9,7
20200107,신촌로,0.028,0.01,0.5,0.003,9,7
20200107,양천구,0.035,0.007,0.6,0.004,9,6
20200107,영등포구,0.033,0.007,0.8,0.002,9,6
20200107,영등포로,0.04,0.004,0.6,0.003,12,8
20200107,올림픽공원,0.023,0.011,0.6,0.002,5,3
20200107,용산구,0.025,0.008,0.4,0.002,4,6
20200107,은평구,0.006,0.029,0.6,0.002,4,3
20200107,자연사박물관,,,,,5,4
20200107,정릉로,0.046,0.003,0.5,0.005,12,12
20200107,종로,0.034,0.006,0.6,0.003,15,11
20200107,종로구,0.032,0.008,0.7,0.003,10,7
20200107,중구,0.03,0.009,0.5,0.003,10,9
20200107,중랑구,0.029,0.01,0.5,0.002,9,4
20200107,천호대로,0.037,0.007,0.7,0.003,9,6
20200107,청계천로,0.035,0.006,0.7,0.004,10,8
20200107,한강대로,0.033,0.007,0.6,0.004,9,6
20200107,행주,0.027,0.007,0.7,0.004,14,9
20200107,홍릉로,0.041,0.006,0.6,0.002,12,8
20200107,화랑로,0.032,0.006,0.6,0.005,15,11
20200108,강남구,0.027,0.014,0.6,0.002,14,11
20200108,강남대로,0.031,0.012,0.8,0.002,29,19
20200108,강동구,0.025,0.014,0.6,0.003,27,24
20200108,강변북로,0.037,0.011,1,0.003,30,20
20200108,강북구,0.026,0.019,0.5,0.002,25,19
20200108,강서구,0.018,0.021,0.5,0.005,32,20
